Class Type,Focus,Coach,Time,Date,Day of Week,Grey,Blue,Green,Orange,Red,Splat Points,Avg HR,Max HR,Total Calories,Distance,Avg  Speed,Max Speed,Avg  Pace,Elevation,Notes
2G,ESP,Brittney,11:15 AM,10/28/2017,Saturday,1,1,7,36,7,43,169,185,586,,,,,,
2G,ESP,Shania,11:15 AM,11/4/2017,Saturday,2,1,21,33,1,34,162,180,615,,,,,,
3G,Endurance,Other,5:00 AM,11/20/2017,Monday,0,3,19,38,3,41,165,184,695,,,,,,
2G,Power,Gabriella,5:30 PM,11/22/2017,Wednesday,1,4,36,16,0,16,155,177,572,,,,,,
2G,Power,Bri,7:00 AM,11/25/2017,Saturday,1,13,36,10,0,10,150,173,560,,,,,,
2G,ESP,Gabriella,5:30 PM,11/29/2017,Wednesday,1,2,22,32,1,33,162,180,627,,,,,,
2G,Endurance,Bri,5:30 PM,12/1/2017,Friday,2,3,23,28,0,28,159,176,582,,,,,,
2G,ESP,Brittney,5:30 PM,12/6/2017,Wednesday,2,3,28,28,0,28,158,179,630,,,,,,
2G,Strength,Dave,5:30 PM,12/9/2017,Saturday,1,3,30,23,1,24,160,182,607,,,,,,
2G,ESP,Brittney,5:30 PM,12/26/2017,Tuesday,2,2,30,20,0,20,157,176,542,,,,,,
2G,Strength,Bri,5:30 PM,12/28/2017,Thursday,1,3,29,20,1,21,158,181,559,,,,,,
2G,Endurance,Jaylissa,11:00 AM,1/1/2018,Monday,3,4,23,27,0,27,158,180,581,,,,,,
2G,Power,Gabriella,5:30 PM,1/3/2018,Wednesday,1,2,32,25,0,25,158,177,621,,,,,,
2G,ESP,Bri,5:30 PM,1/4/2018,Thursday,1,4,29,21,0,21,157,176,555,,,,,,
2G,Strength,Brittney,7:00 AM,1/6/2018,Saturday,1,5,33,18,0,18,157,179,578,,,,,,
2G,Power,Bri,5:30 PM,1/11/2018,Thursday,1,7,32,22,1,23,156,180,629,,,,,,
2G,Strength,Bri,8:15 AM,1/13/2018,Saturday,1,8,28,17,0,17,153,181,540,,,,,,
2G,Strength,Bri,5:30 PM,1/18/2018,Thursday,1,4,24,26,0,26,160,177,584,,,,,,
2G,Endurance,Dave,8:15 AM,1/21/2018,Sunday,2,9,21,25,1,26,157,183,595,,,,,,
2G,Endurance,Bri,6:45 PM,1/25/2018,Thursday,7,1,26,19,4,23,155,189,568,,,,,,
2G,Endurance,Bri,5:30 PM,1/26/2018,Friday,3,5,21,27,1,28,158,181,590,,,,,,Partner
2G,Power,Gabriella,5:45 PM,3/14/2018,Wednesday,0,0,2,26,2,28,160,186,641,,,,,,First class after a month break
2G,ESP,Dave,10:45 AM,3/17/2018,Saturday,1,4,10,40,7,47,167,190,698,,,,,,
2G,Power,Bri,6:45 PM,3/22/2018,Thursday,1,3,14,34,2,36,164,185,601,,,,,,
2G,Strength,Shania,9:30 AM,3/25/2018,Sunday,2,10,31,12,0,12,150,174,537,,,,,,
2G,ESP,Dave,9:30 AM,3/31/2018,Saturday,2,2,33,21,0,21,158,178,606,,,,,,
2G,Endurance,Dave,8:00 PM,4/5/2018,Thursday,2,5,13,27,11,38,165,186,633,,,,,,Partner
2G,Endurance,Dave,9:30 AM,4/7/2018,Saturday,1,2,29,26,2,28,160,183,640,,,,,,Benchmark Row - 2000 M in 08:20
2G,Power,Jaylissa,6:45 PM,4/9/2018,Monday,3,6,30,16,1,17,153,184,550,,,,,,
2G,ESP,Bri,6:45 PM,4/12/2018,Thursday,3,9,30,10,1,11,149,185,499,,,,,,
2G,Strength,Dave,9:30 AM,4/14/2018,Saturday,0,5,31,21,0,21,156,179,588,,,,,,
2G,Endurance,Bri,6:45 PM,4/19/2018,Thursday,1,5,31,23,1,24,157,183,624,,,,,,
2G,Strength,Dave,9:30 AM,4/21/2018,Saturday,2,6,26,22,1,23,156,195,575,,,,,,Orange Inferno - 5 rounds of run/row .13/250
2G,Strength,Dave,6:45 PM,4/26/2018,Thursday,2,4,30,22,1,23,158,183,614,,,,,,Weight Baseline: Dumbell Press - 20 
2G,ESP,Dave,9:30 AM,4/28/2018,Saturday,2,10,32,13,0,13,153,179,556,,,,,,
2G,Endurance,Dave,6:45 PM,5/3/2018,Thursday,1,2,21,25,5,30,163,188,593,,,,,,
2G,Endurance,Dave,9:30 AM,5/5/2018,Saturday,2,4,16,33,3,36,162,185,627,,,,,,
2G,Strength,Bri,6:45 PM,5/10/2018,Thursday,4,7,15,27,2,29,155,184,558,,,,,,
2G,Endurance,Bri,6:45 PM,5/17/2018,Thursday,1,2,19,26,8,33,164,186,605,,,,,,Benchmark Run (PW) 7:69 @ 5% incine @3.9
2G,Power,Dave,9:30 AM,5/19/2018,Saturday,1,4,17,33,2,34,161,184,607,,,,,,
2G,ESP,Bri,6:45 PM,5/24/2018,Thursday,1,5,21,22,4,26,159,187,561,,,,,,"This was Mayhem week - I only did one class, it was really hard. I felt really light headed during the floor portion. I don?t think I ate well enough today"
2G,Strength,Dave,9:30 AM,5/26/2018,Saturday,2,3,26,25,2,27,160,184,601,,,,,,
2G,Endurance,Gabriella,6:45 PM,6/6/2018,Wednesday,2,4,30,20,3,23,159,193,599,,,,,,National Running Day - 23 Minute run. I PW the first 10 minutes and jogged the last 13 - Made it 1.5 miles
2G,Strength,Bri,6:45 PM,6/7/2018,Thursday,1,6,29,17,0,17,155,179,533,,,,,,
2G,ESP,Gabriella,9:30 AM,6/9/2018,Saturday,2,8,30,20,0,20,155,181,591,,,,,,
2G,Endurance,Bri,6:45 PM,6/14/2018,Thursday,1,3,29,30,2,32,160,182,580,,,,,,Run/Row - World Cup Theme LOTS of Burpees
2G,Strength,Dave,9:30 AM,6/23/2018,Saturday,1,1,20,26,8,34,164,190,624,,,,,,
2G,Strength,Gabriella,6:45 PM,6/27/2018,Wednesday,2,7,29,19,0,20,154,194,571,,,,,,Orange X - Benchmark Single arm low row XXlbs  ú Goblet squat 20lbs chest press 15lbs  Bicep Curls 15lbs Shoulder Press 12lbs  Hip Hinge Low Row 
2G,Power,Shania,6:45 PM,6/28/2018,Thursday,2,3,39,9,0,9,154,175,527,,,,,,"Struggled in this class, and it showed with my splat points"
2G,ESP,Dave,9:30 AM,6/30/2018,Saturday,2,1,18,29,7,35,165,185,631,,,,,,
2G,Strength,Gabriella,6:45 PM,7/2/2018,Monday,2,4,26,20,3,22,157,182,553,,,,,,
2G,Power,Bri,6:45 PM,7/5/2018,Thursday,1,4,27,25,1,27,159,183,611,,,,,,
2G,Endurance,Dave,9:30 AM,7/7/2018,Saturday,1,1,19,31,2,33,164,183,602,,,,,,
2G,Endurance,Gabriella,6:45 PM,7/11/2018,Wednesday,2,11,26,17,0,17,151,178,545,,,,,,
2G,Strength,Dave,9:30 AM,7/14/2018,Saturday,1,5,26,22,2,24,158,181,586,,,,,,
2G,Endurance,Bri,6:45 PM,7/19/2018,Thursday,1,2,26,24,0,25,159,179,569,,,,,,
2G,Endurance,Dave,9:30 AM,7/21/2018,Saturday,1,5,20,27,1,27,159,180,567,,,,,,1000 Rep Challeng in honor of the1000th studio opening
2G,Strength,Bri,6:45 PM,7/26/2018,Thursday,2,8,28,16,0,16,152,178,522,,,,,,
2G,ESP,Dave,9:30 AM,7/28/2018,Saturday,2,3,18,29,1,31,160,183,572,,,,,,Orange Trinity
2G,Endurance,Bri,6:45 PM,8/2/2018,Thursday,1,8,30,9,7,16,155,184,545,,,,,,"2000 M Benchmark Row - 08:31:16 - would have been interesting to do this in the morning - Started good, work on breathing"
2G,Power,Dave,9:30 AM,8/4/2018,Saturday,4,13,18,20,0,20,150,181,527,,,,,,Run/Row
2G,Power,Bri,6:45 PM,8/16/2018,Thursday,1,2,24,25,3,28,162,182,601,,,,,,
2G,Endurance,Dave,9:30 AM,8/18/2018,Saturday,1,4,27,21,2,23,159,184,581,,,,,,
2G,Strength,Bri,6:45 PM,8/23/2018,Thursday,1,5,25,22,1,24,158,182,571,,,,,,
2G,ESP,Dave,9:30 AM,8/25/2018,Saturday,2,1,23,29,1,30,161,180,599,,,,,,
2G,Strength,Gabriella,6:45 PM,8/27/2018,Monday,2,15,28,13,0,13,148,175,540,,,,,,
2G,Endurance,Gabriella,5:30 PM,10/1/2018,Monday,2,12,22,9,16,25,147,183,547,,,,,,12 minute distance Run 
2G,Power,Shania,6:45 PM,10/4/2018,Thursday,1,1,15,20,18,38,158,182,564,,,,,,Tornado
2G,Strength,Dave,8:15 AM,10/6/2018,Saturday,0,3,13,25,17,42,159,181,611,,,,,,
2G,Power,Shania,5:30 PM,10/11/2018,Thursday,2,0,12,20,23,43,161,184,596,,,,,,
2G,ESP,Dave,8:15 AM,10/13/2018,Saturday,0,5,14,23,16,39,157,182,594,,,,,,
2G,Strength,Shania,5:30 PM,10/18/2018,Thursday,0,2,18,23,11,34,155,182,552,,,,,,
2G,ESP,Dave,8:15 AM,10/20/2018,Saturday,0,1,8,21,27,48,165,186,629,,,,,,Hellweek
3G,Strength,Bri,5:30 PM,10/26/2018,Friday,2,3,12,23,17,40,156,177,581,,,,,,
3G,Endurance,Bri,8:15 AM,11/3/2018,Saturday,0,1,6,21,29,50,165,188,640,,,,,,Row 1878 m
3G,ESP,Shania,8:15 AM,11/4/2018,Sunday,0,1,8,23,22,45,163,186,596,,,,,,Row 2554 m
2G,Power,Shania,6:45 PM,11/5/2018,Monday,3,6,23,19,8,27,148,176,548,,,,,,Row 581 m
2G,Strength,Dave,7:00 AM,11/10/2018,Saturday,0,1,11,30,14,44,159,179,580,,,,,,row 800m Dave's Last Class
2G,Strength,Gabriella,6:45 PM,11/14/2018,Wednesday,1,2,19,25,11,36,155,180,582,,,,,,no rowing
2G,Strength,Gabriella,6:45 PM,11/26/2018,Monday,2,1,14,21,21,42,159,188,626,,,,,,1000m
2G,ESP,Gabriella,6:45 PM,11/28/2018,Wednesday,3,7,31,14,6,20,149,180,537,,,,,,1811m
2G,Power,Gabriella,6:45 PM,11/29/2018,Thursday,2,2,20,23,12,35,154,182,580,,,,,,865m
2G,Strength,Shania,8:15 AM,12/2/2018,Sunday,1,1,10,23,21,44,160,185,594,,,,,,
2G,Endurance,Gabriella,6:45 PM,12/3/2018,Monday,3,7,23,22,6,28,148,180,556,,,,,,
2G,Power,Gabriella,6:45 PM,12/5/2018,Wednesday,4,15,22,14,2,16,139,174,480,,,,,,12 Days of Fitmess 5 Kinds of Burpees
2G,Power,Shania,6:45 PM,12/13/2018,Thursday,2,5,10,20,18,38,157,184,562,,,,,,
2G,Strength,Bri,10:00 AM,12/21/2018,Thursday,2,4,18,12,20,32,156,187,560,,,,,,Orange Everest - 1.33 Miles
3G,Power,Bri,10:00 AM,12/23/2018,Sunday,1,1,19,21,12,33,156,179,550,,,,,,
2G,Endurance,Bri,10:00 AM,12/27/2018,Thursday,2,2,19,25,8,33,154,181,549,,,,,,
3G,ESP,Shania,10:00 AM,12/31/2018,Monday,3,3,17,22,17,39,155,,621,,,,,,
